Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
RTTA.SF11CA,2024.03,94953.4,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),Current,Actual,
RTTA.SF11KA,1997.03,34665.8,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF11KA,1998.03,35402.5,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF11KA,1999.03,35371.2,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF11KA,2000.03,37506.9,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF11KA,2001.03,38269.6,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF11KA,2002.03,39423.6,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF11KA,2003.03,41403.4,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF11KA,2004.03,43402,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF11KA,2005.03,46128.1,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF11KA,2006.03,48902.2,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF11KA,2007.03,51717.7,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF11KA,2008.03,52357,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF11KA,2009.03,50526.7,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF11KA,2010.03,51064.2,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF11KA,2011.03,51722.7,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF11KA,2012.03,53644,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF11KA,2013.03,54986,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF11KA,2014.03,57193.3,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF11KA,2015.03,60210.9,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF11KA,2016.03,63421.3,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF11KA,2017.03,66868.9,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF11KA,2018.03,70346.7,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF11KA,2019.03,73346.5,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF11KA,2020.03,76301.3,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF11KA,2021.03,77524.6,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF11KA,2022.03,83449.9,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF11KA,2023.03,82328.6,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF11KA,2024.03,79623.7,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),"Deflated, at September 2010 quarter prices",Actual,
RTTA.SF1RACA,2012.03,1663.8,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Northland,Current,Actual,
RTTA.SF1RACA,2013.03,1665.6,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Northland,Current,Actual,
RTTA.SF1RACA,2014.03,1702.1,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Northland,Current,Actual,
RTTA.SF1RACA,2015.03,1834.1,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Northland,Current,Actual,
RTTA.SF1RACA,2016.03,1901.9,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Northland,Current,Actual,
RTTA.SF1RACA,2017.03,2035.3,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Northland,Current,Actual,
RTTA.SF1RACA,2018.03,2141.2,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Northland,Current,Actual,
RTTA.SF1RACA,2019.03,2244.4,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Northland,Current,Actual,
RTTA.SF1RACA,2020.03,2377.7,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Northland,Current,Actual,
RTTA.SF1RACA,2021.03,2520.6,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Northland,Current,Actual,
RTTA.SF1RACA,2022.03,2770.9,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Northland,Current,Actual,
RTTA.SF1RACA,2023.03,2912.5,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Northland,Current,Actual,
RTTA.SF1RACA,2024.03,2963.7,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Northland,Current,Actual,
RTTA.SF1RBCA,2012.03,18323.8,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Auckland,Current,Actual,
RTTA.SF1RBCA,2013.03,19133.1,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Auckland,Current,Actual,
RTTA.SF1RBCA,2014.03,20118,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Auckland,Current,Actual,
RTTA.SF1RBCA,2015.03,21201,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Auckland,Current,Actual,
RTTA.SF1RBCA,2016.03,23321.4,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Auckland,Current,Actual,
RTTA.SF1RBCA,2017.03,25128.7,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,Sales by region in current prices (SAFC),Core industries total,Auckland,Current,Actual,
